Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 20:38:18,0%,112.090,112.240,112.413,0.346
Sun Apr 16 21:38:43,0%,112.183,120.685,128.621,7.129
Sun Apr 16 22:39:07,0%,112.121,112.213,112.348,0.401
Sun Apr 16 23:39:31,0%,112.049,112.099,112.197,0.301
Mon Apr 17 00:39:56,0%,112.036,112.117,112.307,0.468
Mon Apr 17 01:40:22,0%,112.033,115.212,172.029,13.048
Mon Apr 17 02:40:46,0%,112.024,112.112,112.585,0.160
Mon Apr 17 03:41:11,0%,112.024,112.184,112.979,0.319
Mon Apr 17 04:41:35,0%,112.056,112.163,112.729,0.459
Mon Apr 17 05:42:00,0%,112.039,112.730,119.113,1.588
Mon Apr 17 06:42:24,0%,112.024,112.229,113.538,0.592
Mon Apr 17 07:42:44,0%,112.026,112.358,114.044,0.640
Mon Apr 17 08:43:09,0%,112.055,112.450,115.323,0.865
Mon Apr 17 09:43:29,0%,112.075,112.383,114.605,0.638
Mon Apr 17 10:43:54,0%,112.070,112.151,112.522,0.155
Mon Apr 17 11:44:18,0%,112.051,112.160,112.754,0.397
Mon Apr 17 12:44:43,0%,112.061,112.255,114.545,0.633
Mon Apr 17 13:45:08,0%,112.068,112.219,112.427,0.234
Mon Apr 17 14:45:32,0%,112.061,112.387,114.464,0.724
Mon Apr 17 15:45:57,0%,112.077,112.154,112.254,0.426
Mon Apr 17 16:46:22,0%,112.111,112.196,112.415,0.134
Mon Apr 17 17:46:47,0%,112.059,112.215,112.475,0.253
Mon Apr 17 18:47:07,0%,112.159,112.430,114.577,0.612
Mon Apr 17 19:47:32,0%,112.096,112.304,113.839,0.523
Mon Apr 17 20:47:56,0%,112.114,112.434,114.259,0.563
Mon Apr 17 21:48:21,0%,112.113,112.262,113.056,0.283
Mon Apr 17 22:48:47,0%,112.125,112.357,113.879,0.534
Mon Apr 17 23:49:12,0%,112.038,112.191,112.648,0.379
Tue Apr 18 00:49:37,0%,112.041,112.121,112.265,0.321
Tue Apr 18 01:50:01,0%,112.030,112.105,112.232,0.054
Tue Apr 18 02:50:26,0%,112.041,112.105,112.383,0.310
Tue Apr 18 03:50:50,0%,112.035,112.191,113.991,0.566
Tue Apr 18 04:51:11,0%,112.037,114.176,120.781,3.503
Tue Apr 18 05:51:35,0%,112.014,112.159,112.779,0.480
Tue Apr 18 06:52:00,0%,112.048,112.146,112.880,0.393
Tue Apr 18 07:52:20,0%,112.062,112.180,112.623,0.481
Tue Apr 18 08:52:40,5%,120.430,120.689,121.002,0.211
Tue Apr 18 09:53:06,0%,112.046,112.111,112.213,0.154
Tue Apr 18 10:53:26,0%,112.020,112.111,112.273,0.303
Tue Apr 18 11:53:46,5%,120.658,120.789,120.929,0.235
Tue Apr 18 12:54:12,0%,112.067,112.151,112.371,0.161
Tue Apr 18 13:54:36,0%,120.621,120.837,121.000,0.486
Tue Apr 18 14:55:01,0%,112.100,112.280,112.925,0.457
Tue Apr 18 15:55:26,0%,112.064,112.145,112.220,0.038
Tue Apr 18 16:55:51,0%,112.099,112.179,112.382,0.442
Tue Apr 18 17:56:16,0%,112.117,112.227,112.725,0.478
Tue Apr 18 18:56:37,0%,112.144,112.224,112.386,0.357
Tue Apr 18 19:57:01,0%,112.143,112.248,112.357,0.305
Tue Apr 18 20:57:26,0%,112.190,112.265,112.421,0.161
Tue Apr 18 21:57:51,0%,112.114,112.212,112.392,0.402
Tue Apr 18 22:58:15,0%,112.102,112.187,112.314,0.304
Tue Apr 18 23:58:40,0%,112.034,121.952,218.879,29.600
Wed Apr 19 00:59:04,0%,112.065,112.129,112.264,0.287
Wed Apr 19 01:59:24,0%,112.052,112.126,112.486,0.458
Wed Apr 19 02:59:45,0%,112.028,112.103,112.186,0.216
Wed Apr 19 04:00:05,0%,112.052,112.485,117.833,1.254
Wed Apr 19 05:00:25,0%,112.046,112.147,112.495,0.399
Wed Apr 19 06:00:50,0%,112.042,112.108,112.361,0.222
Wed Apr 19 07:01:11,0%,112.042,112.131,112.355,0.456
Wed Apr 19 08:01:31,0%,112.043,112.177,113.990,0.612
Wed Apr 19 09:01:56,0%,112.061,112.189,112.733,0.340
Wed Apr 19 10:02:20,0%,112.044,112.112,112.221,0.118
Wed Apr 19 11:02:44,0%,112.042,112.140,112.281,0.441
Wed Apr 19 12:03:09,0%,112.080,112.295,112.967,0.244
Wed Apr 19 13:03:29,0%,112.107,112.162,112.319,0.464
Wed Apr 19 14:03:50,0%,112.070,112.243,113.330,0.377
Wed Apr 19 15:04:14,0%,112.065,112.194,112.987,0.369
Wed Apr 19 16:04:39,0%,112.086,112.159,112.281,0.158
Wed Apr 19 17:05:03,0%,112.172,112.378,114.519,0.588
Wed Apr 19 18:05:28,0%,112.138,112.311,113.816,0.382
Wed Apr 19 19:05:52,0%,112.113,112.237,112.423,0.330
Wed Apr 19 20:06:17,0%,112.165,112.240,112.391,0.356
Wed Apr 19 21:06:42,0%,112.176,112.244,112.402,0.372
Wed Apr 19 22:07:07,0%,112.079,112.206,112.520,0.333
Wed Apr 19 23:07:32,0%,112.080,112.167,112.292,0.428
Thu Apr 20 00:07:52,0%,112.024,112.124,112.306,0.324
Thu Apr 20 01:08:17,0%,112.063,112.333,115.384,0.706
Thu Apr 20 02:08:37,0%,112.045,112.331,115.534,0.871
Thu Apr 20 03:09:01,0%,112.039,112.113,112.302,0.121
Thu Apr 20 04:09:26,0%,112.047,112.328,116.626,1.085
Thu Apr 20 05:09:46,0%,112.033,112.121,112.602,0.325
Thu Apr 20 06:10:11,0%,112.031,112.161,112.678,0.352
Thu Apr 20 07:10:36,0%,112.050,112.151,112.309,0.306
Thu Apr 20 08:11:01,0%,112.033,112.130,112.246,0.401
Thu Apr 20 09:11:21,0%,112.045,112.142,112.284,0.120
Thu Apr 20 10:11:41,0%,112.063,112.115,112.203,0.353
Thu Apr 20 11:12:06,0%,112.075,112.145,112.352,0.453
Thu Apr 20 12:12:30,0%,112.080,112.162,112.586,0.334
Thu Apr 20 13:12:54,0%,112.068,112.132,112.347,0.453
Thu Apr 20 14:13:20,0%,112.048,112.164,112.376,0.345
Thu Apr 20 15:13:44,0%,112.106,112.514,116.409,1.067
Thu Apr 20 16:14:04,0%,237.283,237.408,237.644,0.417
Thu Apr 20 17:14:30,0%,237.333,237.480,237.925,0.533
Thu Apr 20 18:14:55,0%,112.156,112.492,114.959,0.785
Thu Apr 20 19:15:20,0%,112.117,112.372,114.259,0.499
Thu Apr 20 20:15:44,0%,112.104,112.225,112.467,0.308
Thu Apr 20 21:16:09,0%,112.152,112.273,112.532,0.472
Thu Apr 20 22:16:33,0%,112.126,112.233,112.370,0.222
Thu Apr 20 23:16:58,0%,112.073,112.188,112.322,0.441
Fri Apr 21 00:17:23,0%,112.060,117.427,216.830,22.808
Fri Apr 21 01:17:48,0%,112.075,112.178,112.426,0.430
Fri Apr 21 02:18:13,0%,112.046,112.125,112.288,0.192
Fri Apr 21 03:18:37,0%,112.038,112.287,115.026,0.670
Fri Apr 21 04:19:02,0%,112.056,112.288,114.635,0.550
Fri Apr 21 05:19:27,0%,112.046,112.145,112.589,0.217
Fri Apr 21 06:19:51,0%,112.060,112.361,115.445,0.786
Fri Apr 21 07:20:16,0%,112.058,112.141,112.554,0.238
Fri Apr 21 08:20:40,0%,112.051,112.209,113.428,0.502
Fri Apr 21 09:21:00,0%,112.047,112.120,112.410,0.130
Fri Apr 21 10:21:24,0%,112.063,112.152,112.301,0.465
Fri Apr 21 11:21:49,0%,112.099,112.172,112.305,0.303
Fri Apr 21 12:22:13,0%,112.074,112.186,112.893,0.403
Fri Apr 21 13:22:38,0%,112.072,112.162,112.376,0.416
Fri Apr 21 14:23:02,0%,112.048,112.148,112.328,0.428
Fri Apr 21 15:23:23,0%,112.050,112.168,112.322,0.339
Fri Apr 21 16:23:47,0%,112.097,112.179,112.258,0.186
Fri Apr 21 17:24:12,0%,112.086,112.198,112.341,0.413
Fri Apr 21 18:24:36,0%,112.143,112.251,112.466,0.167
Fri Apr 21 19:25:02,0%,112.147,112.241,112.367,0.242
Fri Apr 21 20:25:26,0%,112.116,112.215,112.405,0.387
Fri Apr 21 21:25:51,0%,112.155,112.226,112.348,0.265
Fri Apr 21 22:26:16,0%,112.119,112.309,113.198,0.354
Fri Apr 21 23:26:41,0%,112.100,112.196,112.367,0.466
Sat Apr 22 00:27:06,0%,112.110,112.178,112.318,0.217
Sat Apr 22 01:27:31,0%,112.090,112.169,112.357,0.069
Sat Apr 22 02:27:56,0%,112.079,112.180,112.537,0.329
Sat Apr 22 03:28:21,0%,112.079,112.151,112.268,0.451
Sat Apr 22 04:28:41,0%,112.102,112.162,112.275,0.155
Sat Apr 22 05:29:06,0%,112.055,112.147,112.310,0.357
Sat Apr 22 06:29:26,0%,112.077,112.152,112.311,0.385
Sat Apr 22 07:29:51,0%,112.057,112.160,112.384,0.166
Sat Apr 22 08:30:16,0%,112.064,112.138,112.226,0.283
Sat Apr 22 09:30:40,0%,112.083,112.159,112.225,0.153
Sat Apr 22 10:31:05,0%,112.045,112.128,112.234,0.369
Sat Apr 22 11:31:30,0%,112.082,112.183,112.406,0.248
Sat Apr 22 12:31:55,0%,112.079,112.142,112.226,0.411
Sat Apr 22 13:32:20,0%,112.125,112.230,112.591,0.350
Sat Apr 22 14:32:44,0%,112.116,112.209,112.362,0.061
Sat Apr 22 15:33:09,0%,112.111,112.199,112.358,0.386
Sat Apr 22 16:33:33,0%,112.130,112.208,112.398,0.402
Sat Apr 22 17:33:58,0%,112.116,112.207,112.388,0.453
Sat Apr 22 18:34:23,0%,112.145,112.252,112.365,0.285
Sat Apr 22 19:34:48,0%,112.144,112.221,112.333,0.464
Sat Apr 22 20:35:13,0%,112.165,112.233,112.355,0.411
Sat Apr 22 21:35:38,0%,112.131,112.187,112.240,0.368
Sat Apr 22 22:36:02,0%,112.118,112.213,112.384,0.371
Sat Apr 22 23:36:27,0%,112.118,112.193,112.342,0.464
Sun Apr 23 00:36:47,0%,112.104,112.203,112.385,0.245
Sun Apr 23 01:37:12,0%,112.108,112.204,112.395,0.266
Sun Apr 23 02:37:37,0%,112.065,112.202,112.360,0.401
Sun Apr 23 03:38:01,0%,112.093,112.165,112.270,0.046
Sun Apr 23 04:38:21,0%,112.100,112.181,112.385,0.063
Sun Apr 23 05:38:46,0%,112.074,112.157,112.275,0.158
Sun Apr 23 06:39:11,0%,112.084,112.159,112.392,0.325
Sun Apr 23 07:39:37,0%,112.084,112.142,112.316,0.465
Sun Apr 23 08:40:01,0%,112.102,113.187,121.657,2.378
Sun Apr 23 09:40:26,0%,112.077,121.440,125.617,6.120
Sun Apr 23 10:40:51,0%,112.073,112.166,112.283,0.372
Sun Apr 23 11:41:15,0%,112.080,112.155,112.330,0.218
Sun Apr 23 12:41:39,0%,112.050,112.142,112.183,0.397
Sun Apr 23 13:42:04,0%,112.078,112.150,112.392,0.454
Sun Apr 23 14:42:29,0%,112.083,112.146,112.234,0.214
Sun Apr 23 15:42:54,0%,112.118,112.507,112.982,0.520
Sun Apr 23 16:43:18,0%,112.113,112.176,112.270,0.261
Sun Apr 23 17:43:43,0%,112.106,112.168,112.315,0.353
Sun Apr 23 18:44:08,0%,112.117,112.193,112.349,0.385
Sun Apr 23 19:44:32,0%,112.115,112.189,112.294,0.262
Sun Apr 23 20:44:57,0%,112.128,112.222,112.405,0.054
Sun Apr 23 21:45:22,0%,112.127,112.198,112.414,0.122
Sun Apr 23 22:45:47,0%,112.116,112.203,112.350,0.286
Sun Apr 23 23:46:12,0%,112.057,112.122,112.325,0.219
Mon Apr 24 00:46:37,0%,112.057,112.192,113.309,0.402
Mon Apr 24 01:47:01,0%,112.059,112.169,112.769,0.427
Mon Apr 24 02:47:25,0%,112.076,112.203,112.554,0.286
Mon Apr 24 03:47:51,0%,112.063,112.120,112.436,0.376
Mon Apr 24 04:48:16,0%,112.050,112.115,112.298,0.305
Mon Apr 24 05:48:40,0%,112.047,112.176,113.277,0.483
Mon Apr 24 06:49:00,0%,112.039,112.189,113.324,0.373
Mon Apr 24 07:49:21,0%,112.077,112.259,113.751,0.394
Mon Apr 24 08:49:40,0%,112.032,112.382,114.574,0.775
Mon Apr 24 09:50:01,0%,112.082,112.239,113.888,0.425
Mon Apr 24 10:50:21,0%,112.076,112.132,112.196,0.336
Mon Apr 24 11:50:41,0%,112.074,112.212,113.359,0.499
Mon Apr 24 12:51:01,0%,112.079,112.267,113.954,0.507
Mon Apr 24 13:51:21,0%,112.040,112.169,113.122,0.341
Mon Apr 24 14:51:42,0%,112.095,112.138,112.305,0.115
Mon Apr 24 15:52:06,0%,112.063,112.140,112.322,0.452
Mon Apr 24 16:52:31,0%,112.143,112.211,112.362,0.338
Mon Apr 24 17:52:55,0%,112.117,112.194,112.260,0.111
Mon Apr 24 18:53:21,0%,112.154,112.325,113.451,0.425
Mon Apr 24 19:53:46,0%,112.163,112.263,112.412,0.288
Mon Apr 24 20:54:11,0%,112.140,112.222,112.351,0.306
Mon Apr 24 21:54:36,0%,112.141,112.207,112.356,0.264
Mon Apr 24 22:55:01,0%,112.084,112.185,112.393,0.466
Mon Apr 24 23:55:25,0%,112.043,116.117,188.494,16.622
Tue Apr 25 00:55:45,0%,112.042,112.099,112.217,0.189
Tue Apr 25 01:56:10,0%,112.071,112.129,112.219,0.112
Tue Apr 25 02:56:35,0%,112.035,112.329,114.745,0.816
Tue Apr 25 03:57:00,0%,112.071,112.235,113.544,0.370
Tue Apr 25 04:57:25,0%,112.053,112.273,113.331,0.481
Tue Apr 25 05:57:45,0%,112.013,112.179,113.309,0.331
Tue Apr 25 06:58:10,0%,112.029,112.162,112.711,0.428
Tue Apr 25 07:58:34,0%,112.050,112.160,112.534,0.291
Tue Apr 25 08:58:59,0%,112.053,112.144,112.273,0.386
Tue Apr 25 09:59:19,0%,112.053,112.216,114.129,0.611
Tue Apr 25 10:59:43,0%,112.087,112.146,112.368,0.414
Tue Apr 25 12:00:04,0%,112.070,112.141,112.348,0.304
Tue Apr 25 13:00:24,0%,112.034,112.206,113.356,0.315
Tue Apr 25 14:00:48,0%,112.063,112.152,112.336,0.441
Tue Apr 25 15:01:13,0%,112.080,112.200,113.000,0.295
Tue Apr 25 16:01:38,0%,112.125,112.222,112.339,0.195
Tue Apr 25 17:02:02,0%,112.120,112.228,112.477,0.361
Tue Apr 25 18:02:27,0%,112.142,112.623,114.353,0.478
Tue Apr 25 19:02:52,0%,112.124,112.269,112.923,0.348
Tue Apr 25 20:03:17,0%,112.090,112.444,114.516,0.679
Tue Apr 25 21:03:42,0%,112.126,112.262,112.423,0.403
Tue Apr 25 22:04:07,0%,112.204,112.378,113.380,0.371
Tue Apr 25 23:04:32,0%,112.059,112.183,112.710,0.345
Wed Apr 26 00:04:57,0%,112.072,112.204,112.787,0.376
