Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 21:42:44,0%,67.331,67.536,69.344,0.551
Sun Apr 16 21:43:08,0%,67.325,67.419,67.563,0.101
Sun Apr 16 21:43:32,0%,67.307,67.442,67.776,0.380
Sun Apr 16 21:43:57,0%,67.333,67.457,68.038,0.351
Sun Apr 16 21:44:21,0%,67.338,67.444,67.624,0.143
Sun Apr 16 21:44:45,0%,67.332,67.421,67.683,0.309
Sun Apr 16 21:45:09,0%,67.327,67.426,67.612,0.315
Sun Apr 16 21:45:33,0%,67.362,67.535,68.844,0.451
Sun Apr 16 21:45:57,0%,67.310,67.477,68.075,0.352
Sun Apr 16 21:46:21,0%,67.350,67.445,67.949,0.370
Sun Apr 16 21:46:45,0%,67.338,67.457,67.667,0.236
Sun Apr 16 21:47:10,0%,67.312,67.475,67.987,0.388
Sun Apr 16 21:47:34,0%,67.334,67.463,67.965,0.246
Sun Apr 16 21:48:00,0%,67.342,67.479,67.728,0.370
Sun Apr 16 21:48:24,0%,67.366,67.431,67.635,0.361
Sun Apr 16 21:48:49,0%,67.330,67.424,67.701,0.283
Sun Apr 16 21:49:13,0%,67.339,67.471,67.939,0.386
Sun Apr 16 21:49:37,0%,67.329,67.469,67.859,0.197
Sun Apr 16 21:50:01,0%,67.338,67.422,67.541,0.048
Sun Apr 16 21:50:26,0%,67.312,67.415,67.737,0.349
Sun Apr 16 21:50:50,0%,67.326,67.482,68.059,0.321
Sun Apr 16 21:51:14,0%,67.349,67.431,67.765,0.349
Sun Apr 16 21:51:39,0%,67.339,67.438,67.708,0.347
Sun Apr 16 21:52:03,0%,67.324,67.420,67.633,0.355
Sun Apr 16 21:52:27,0%,67.379,67.514,67.829,0.362
Sun Apr 16 21:52:51,0%,67.314,67.450,67.962,0.363
Sun Apr 16 21:53:35,Sun Apr 16 21:53:40,0%,67.353,67.437,67.689,0.335
Sun Apr 16 22:54:04,0%,67.387,67.519,68.192,0.356
Sun Apr 16 23:54:28,0%,67.333,67.440,67.566,0.345
Mon Apr 17 00:54:53,0%,67.350,67.482,67.840,0.280
Mon Apr 17 01:55:18,0%,67.389,67.483,68.155,0.228
Mon Apr 17 02:55:42,0%,67.346,67.463,67.725,0.328
Mon Apr 17 03:56:07,0%,67.298,67.473,68.023,0.365
Mon Apr 17 04:56:31,0%,67.337,67.424,67.505,0.251
Mon Apr 17 05:56:55,0%,67.318,67.453,68.046,0.329
Mon Apr 17 06:57:21,0%,67.364,67.465,67.719,0.249
Mon Apr 17 07:57:45,0%,67.324,67.436,67.825,0.295
Mon Apr 17 08:58:09,0%,67.327,67.456,67.715,0.284
Mon Apr 17 09:58:33,0%,67.379,67.493,67.710,0.369
Mon Apr 17 10:58:57,0%,67.386,67.457,67.800,0.097
Mon Apr 17 11:59:24,0%,67.319,67.498,68.366,0.234
Mon Apr 17 12:59:48,0%,67.268,67.470,67.929,0.269
Mon Apr 17 14:00:12,0%,67.304,67.429,67.613,0.149
Mon Apr 17 15:00:36,0%,67.294,67.411,67.620,0.145
Mon Apr 17 16:01:03,0%,67.308,67.574,68.256,0.319
Mon Apr 17 17:01:40,0%,67.308,67.434,67.631,0.214
Mon Apr 17 18:02:08,0%,67.319,67.523,68.197,0.267
Mon Apr 17 19:02:32,0%,67.311,67.475,68.873,0.437
Mon Apr 17 20:02:56,0%,67.348,67.427,67.784,0.324
Mon Apr 17 21:03:20,0%,67.339,67.428,67.725,0.162
Mon Apr 17 22:03:44,0%,67.343,67.499,67.717,0.347
Mon Apr 17 23:04:09,0%,67.324,67.407,67.576,0.345
Tue Apr 18 00:04:33,0%,67.296,67.536,68.054,0.267
Tue Apr 18 01:04:57,0%,67.305,67.494,67.902,0.270
Tue Apr 18 02:05:23,0%,67.344,67.474,67.933,0.378
Tue Apr 18 03:05:47,0%,67.293,67.443,67.663,0.200
Tue Apr 18 04:06:11,0%,67.335,67.424,67.716,0.260
Tue Apr 18 05:06:36,0%,67.374,67.517,67.979,0.266
Tue Apr 18 06:07:00,0%,67.344,67.498,67.979,0.389
Tue Apr 18 07:07:25,0%,67.356,67.509,68.116,0.269
Tue Apr 18 08:07:49,0%,67.319,67.502,68.180,0.300
Tue Apr 18 09:08:13,0%,67.298,67.496,68.761,0.350
Tue Apr 18 10:08:37,0%,67.306,67.421,67.567,0.293
Tue Apr 18 11:09:01,0%,67.278,67.451,68.055,0.243
Tue Apr 18 12:09:25,0%,67.341,67.435,67.673,0.331
Tue Apr 18 13:09:50,0%,67.318,67.404,67.579,0.132
Tue Apr 18 14:10:14,0%,67.351,67.415,67.578,0.207
Tue Apr 18 15:10:38,0%,67.323,67.400,67.683,0.199
Tue Apr 18 16:11:02,0%,67.327,67.561,69.194,0.423
Tue Apr 18 17:11:26,0%,67.320,67.407,67.561,0.177
Tue Apr 18 18:11:50,0%,67.319,67.459,68.334,0.267
Tue Apr 18 19:12:15,0%,67.326,67.454,67.773,0.256
Tue Apr 18 20:12:39,0%,67.351,67.464,67.809,0.181
Tue Apr 18 21:13:03,0%,67.361,67.510,68.703,0.424
Tue Apr 18 22:13:27,0%,67.333,67.432,67.573,0.155
Tue Apr 18 23:13:52,0%,67.364,67.442,67.529,0.299
Wed Apr 19 00:14:16,0%,67.349,67.490,67.796,0.275
Wed Apr 19 01:14:40,0%,67.314,67.426,67.773,0.370
Wed Apr 19 02:15:04,0%,67.336,67.473,68.153,0.384
Wed Apr 19 03:15:29,0%,67.312,67.479,67.941,0.244
Wed Apr 19 04:15:53,0%,67.326,67.454,68.332,0.256
Wed Apr 19 05:16:17,0%,67.319,67.499,67.880,0.166
Wed Apr 19 06:16:41,0%,67.308,67.414,67.888,0.376
Wed Apr 19 07:17:05,0%,67.307,67.431,67.670,0.353
Wed Apr 19 08:17:30,0%,67.346,68.178,81.627,3.099
Wed Apr 19 09:17:54,0%,67.318,67.462,67.816,0.206
Wed Apr 19 10:18:22,0%,67.361,67.467,67.696,0.246
Wed Apr 19 11:18:47,0%,67.309,67.423,67.843,0.305
Wed Apr 19 12:19:12,0%,67.309,67.432,67.954,0.371
Wed Apr 19 13:19:37,0%,67.341,67.430,67.770,0.100
Wed Apr 19 14:20:01,0%,67.333,67.504,68.814,0.437
Wed Apr 19 15:20:25,0%,67.345,67.469,67.856,0.240
Wed Apr 19 16:20:50,0%,67.332,67.478,67.970,0.248
Wed Apr 19 17:21:14,0%,67.317,67.419,67.646,0.255
Wed Apr 19 18:21:38,0%,67.324,67.451,67.722,0.344
Wed Apr 19 19:22:02,0%,67.346,67.458,68.066,0.323
Wed Apr 19 20:22:27,0%,67.334,67.446,67.800,0.357
Wed Apr 19 21:22:51,0%,67.342,67.443,67.843,0.304
